Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-10-27,27.015457345593358,27.088226254268356,27.015457345593358,27.07003402709961,118400,27,2,43,10,1993
1993-10-28,27.10641728630855,27.342916229074998,27.10641728630855,27.2701473236084,129600,28,3,43,10,1993
1993-10-29,27.251955097241748,27.28833954997505,27.2337628708751,27.2701473236084,80700,29,4,43,10,1993
1993-11-01,27.23374793153561,27.36109344624553,27.23374793153561,27.3429012298584,36400,1,0,44,11,1993
1993-11-02,27.30653197089143,27.361108650380224,27.160994158921326,27.324724197387695,262100,2,1,44,11,1993
1993-11-03,27.306524933951977,27.306524933951977,26.851719388749576,26.97906494140625,479100,3,2,44,11,1993
1993-11-04,26.979088884027295,26.979088884027295,26.66982083882941,26.688013076782227,130400,4,3,44,11,1993
1993-11-05,26.61522745730272,26.81534194946289,26.506074097942626,26.81534194946289,363200,5,4,44,11,1993
1993-11-08,26.833534305334737,26.92449543857316,26.760765398744,26.851726531982422,367600,8,0,45,11,1993
1993-11-09,27.033650782435988,27.051843010418786,26.851728502608022,26.86992073059082,246900,9,1,45,11,1993
1993-11-10,26.86991952824336,27.07003402709961,26.797150619568363,27.07003402709961,46500,10,2,45,11,1993
1993-11-11,27.07003950751374,27.142808430921036,26.97907835325462,26.997270584106445,88900,11,3,45,11,1993
1993-11-12,27.051841991688082,27.215572037367433,27.03364976439038,27.124610900878906,108200,12,4,45,11,1993
1993-11-15,27.17917413135503,27.17917413135503,27.033636385002392,27.10640525817871,243300,15,0,46,11,1993
1993-11-16,27.160988129212527,27.25194924150058,27.051834794466863,27.23375701904297,492600,16,1,46,11,1993
1993-11-17,27.25194676887917,27.25194676887917,27.015447898388228,27.08821678161621,39600,17,2,46,11,1993
1993-11-18,27.0518358776465,27.10641254720463,26.94268253853024,27.015451431274414,240800,18,3,46,11,1993
1993-11-19,26.924484397074796,26.997253273823645,26.906292177887583,26.96086883544922,106000,19,4,46,11,1993
1993-11-22,26.888101221668585,26.906293441710307,26.70617902125134,26.79714012145996,165300,22,0,47,11,1993
1993-11-23,26.94268226623535,26.960874489237536,26.797144482217874,26.94268226623535,89700,23,1,47,11,1993
1993-11-24,27.015436328972594,27.070012968021025,26.97905190294031,27.051820755004883,77200,24,2,47,11,1993
1993-11-26,27.124610708605857,27.124610708605857,27.05184179993086,27.07003402709961,1019800,26,4,47,11,1993
1993-11-29,27.142791027321348,27.197367684882984,26.96086883544922,26.96086883544922,517500,29,0,48,11,1993
1993-11-30,26.942680497790057,27.10641049406292,26.92448827598196,26.97906494140625,230000,30,1,48,11,1993
1993-12-01,27.124604770390672,27.142796993576717,27.015451431274414,27.015451431274414,379200,1,2,48,12,1993
1993-12-02,27.070024560809216,27.106409002423206,27.015447898388228,27.08821678161621,352000,2,3,48,12,1993
1993-12-03,27.070030676800272,27.197376251220703,27.070030676800272,27.197376251220703,306000,3,4,48,12,1993
1993-12-06,27.233761032104493,27.324722157796224,27.233761032104493,27.28833770751953,99500,6,0,49,12,1993
1993-12-07,27.28833954997505,27.3065317763417,27.2337628708751,27.2701473236084,88800,7,1,49,12,1993
1993-12-08,27.2701473236084,27.2701473236084,27.2337628708751,27.2701473236084,146700,8,2,49,12,1993
1993-12-09,27.27013360193296,27.30651803635849,27.142788081443616,27.17917251586914,416500,9,3,49,12,1993
1993-12-10,27.197379810069727,27.197379810069727,27.07003421898579,27.124610900878906,412900,10,4,49,12,1993
1993-12-13,27.124607681274416,27.28833770751953,27.088223230997723,27.28833770751953,273200,13,0,50,12,1993
1993-12-14,27.306523431300157,27.306523431300157,27.08821678161621,27.08821678161621,41900,14,1,50,12,1993
1993-12-15,27.124589607069453,27.1427818200856,27.051820755004883,27.051820755004883,82600,15,2,50,12,1993
1993-12-16,27.160987784971184,27.160987784971184,27.106411118290062,27.14279556274414,78200,16,3,50,12,1993
1993-12-17,27.20037790592885,27.31027842272048,27.182061153130242,27.291961669921875,104700,17,4,50,12,1993
1993-12-20,27.273657275908114,27.34692432030276,27.25534051480945,27.3286075592041,68800,20,0,51,12,1993
1993-12-21,27.291951657303564,27.291951657303564,27.200367926909927,27.237001419067383,205700,21,1,51,12,1993
1993-12-22,27.310284547672005,27.438501846017882,27.255334276952343,27.420185089111328,410300,22,2,51,12,1993
1993-12-23,27.401878356933594,27.45682864775632,27.365244829718442,27.401878356933594,533800,23,3,51,12,1993
1993-12-27,27.40188580370964,27.548419952392578,27.40188580370964,27.548419952392578,447100,27,0,52,12,1993
1993-12-28,27.530080763646605,27.621664531988742,27.511764009978176,27.603347778320312,880600,28,1,52,12,1993
1993-12-29,27.621678881470945,27.639995644654945,27.54841182873495,27.566728591918945,266700,29,2,52,12,1993
1993-12-30,27.54840332194119,27.54840332194119,27.4018692617181,27.456819534301758,219900,30,3,52,12,1993
1993-12-31,27.51176990173872,27.548403416920795,27.291968810646267,27.310285568237305,312900,31,4,52,12,1993
1994-01-03,27.310268403382292,27.346901895539744,27.200367926909927,27.237001419067383,960900,3,0,1,1,1994
1994-01-04,27.27365298057193,27.346920013427734,27.237019464144034,27.346920013427734,164300,4,1,1,1,1994
1994-01-05,27.383561593326018,27.42019512054117,27.27366101168056,27.401878356933594,710900,5,2,1,1,1994
1994-01-06,27.438511884148745,27.45682864775632,27.365244829718442,27.401878356933594,201000,6,3,1,1,1994
1994-01-07,27.456828012814952,27.585045355102945,27.383560960078952,27.566728591918945,775500,7,4,1,1,1994
1994-01-10,27.60335142770568,27.896419525146484,27.53008440334548,27.896419525146484,593700,10,0,2,1,1994
1994-01-11,27.878104232486926,27.878104232486926,27.74988693312595,27.84147071838379,295200,11,1,2,1,1994
1994-01-12,27.85979184065715,27.85979184065715,27.658307481520247,27.74989128112793,158400,12,2,2,1,1994
1994-01-13,27.676631927490234,27.73158222251503,27.6399983974737,27.676631927490234,244300,13,3,2,1,1994
1994-01-14,27.76820134142157,27.841468363430597,27.76820134142157,27.786518096923828,137200,14,4,2,1,1994
1994-01-17,27.786518096923828,27.82315160792834,27.731567830417056,27.786518096923828,17700,17,0,3,1,1994
1994-01-18,27.82316017150879,27.85979369378859,27.76820988808909,27.82316017150879,166400,18,1,3,1,1994
1994-01-19,27.786524800971,27.823158320814077,27.69494100136332,27.74989128112793,200800,19,2,3,1,1994
1994-01-20,27.78652664922899,27.84147693264869,27.76820988808909,27.82316017150879,281100,20,3,3,1,1994
1994-01-21,27.859779866200952,27.859779866200952,27.749879353908245,27.76819610595703,85600,21,4,3,1,1994
1994-01-24,27.74989374426027,27.878111075091834,27.658309936523438,27.658309936523438,373800,24,0,4,1,1994
1994-01-25,27.676626698070805,27.69494345961817,27.603359651881338,27.658309936523438,310400,25,1,4,1,1994
1994-01-26,27.658311775842463,27.749895589669755,27.621678250311547,27.731578826904297,145100,26,2,4,1,1994
1994-01-27,27.786524144766844,28.024642018123448,27.749890625788904,27.988008499145508,344500,27,3,4,1,1994
1994-01-28,28.097920460115837,28.152870760885296,28.06128692626953,28.06128692626953,356500,28,4,4,1,1994
1994-01-31,28.17116305585504,28.317697063947914,28.134529553831822,28.262746810913086,313800,31,0,5,1,1994
1994-02-01,28.226124839906973,28.226124839906973,28.079590771951583,28.11622428894043,303600,1,1,5,2,1994
1994-02-02,28.207799399169133,28.29938316345215,28.18948264631253,28.29938316345215,307600,2,2,5,2,1994
1994-02-03,28.244440125861,28.244440125861,28.079589308005783,28.171173095703125,466100,3,3,5,2,1994
1994-02-04,28.1711866920659,28.20782022482541,27.530099868774414,27.530099868774414,1403200,4,4,5,2,1994
1994-02-07,27.456825559502406,27.7315769827129,27.456825559502406,27.658309936523438,516400,7,0,6,2,1994
